Recipient,Delivery year,Armament category,Total TIV
Afghanistan,2005,Armoured vehicles,18.8
Afghanistan,2007,Armoured vehicles,20.8
Afghanistan,2008,Armoured vehicles,72.8
Afghanistan,2009,Armoured vehicles,260.0
Afghanistan,2010,Armoured vehicles,227.5
Afghanistan,2011,Aircraft,11.280000000000001
Afghanistan,2011,Armoured vehicles,475.12
Afghanistan,2012,Aircraft,20.0
Afghanistan,2012,Armoured vehicles,381.28999999999996
Afghanistan,2013,Aircraft,22.4
Afghanistan,2013,Armoured vehicles,133.26
Afghanistan,2014,Aircraft,11.2
Afghanistan,2014,Armoured vehicles,77.19999999999999
Afghanistan,2015,Aircraft,19.6
Afghanistan,2015,Armoured vehicles,90.02000000000001
Afghanistan,2016,Aircraft,9.200000000000001
Afghanistan,2016,Armoured vehicles,58.5
Afghanistan,2017,Aircraft,18.16
Afghanistan,2017,Armoured vehicles,215.28
Afghanistan,2017,Missiles,1.0
Afghanistan,2018,Aircraft,125.13
Afghanistan,2018,Armoured vehicles,155.63
Afghanistan,2018,Missiles,2.0
Afghanistan,2019,Aircraft,103.61
Afghanistan,2019,Armoured vehicles,261.54
Afghanistan,2019,Missiles,2.0
Afghanistan,2020,Aircraft,19.07
Afghanistan,2020,Armoured vehicles,212.19
Afghanistan,2021,Aircraft,4.2
Afghanistan,2021,Armoured vehicles,60.629999999999995
Albania,2017,Armoured vehicles,0.38
Albania,2018,Armoured vehicles,0.88
Albania,2019,Armoured vehicles,4.74
Albania,2020,Armoured vehicles,1.3
Albania,2021,Armoured vehicles,1.04
Albania,2023,Armoured vehicles,0.78
Albania,2024,Aircraft,5.2
Algeria,1990,Aircraft,28.0
Algeria,1995,Aircraft,5.7
Algeria,1996,Aircraft,2.85
Algeria,2000,Sensors,22.0
Algeria,2001,Aircraft,44.6
Algeria,2001,Sensors,22.0
Algeria,2002,Aircraft,58.6
Algeria,2010,Aircraft,11.4
Algeria,2011,Aircraft,11.4
Algeria,2015,Engines,3.0
Algeria,2016,Engines,17.0
Algeria,2018,Armoured vehicles,2.88
Algeria,2019,Armoured vehicles,2.88
Algeria,2020,Armoured vehicles,3.84
Algeria,2022,Aircraft,32.0
Algeria,2023,Aircraft,40.0
Algeria,2024,Aircraft,40.0
Angola,1994,Sensors,5.0
Angola,2013,Aircraft,0.6
Angola,2017,Aircraft,1.6
Argentina,1990,Aircraft,2.85
Argentina,1990,Engines,3.6
Argentina,1990,Sensors,7.5
Argentina,1992,Aircraft,26.689999999999998
Argentina,1994,Aircraft,35.980000000000004
Argentina,1994,Ships,12.0
Argentina,1995,Aircraft,27.0
Argentina,1995,Engines,1.0
Argentina,1996,Sensors,9.0
Argentina,1997,Aircraft,73.28
Argentina,1997,Engines,1.0
Argentina,1997,Sensors,8.0
Argentina,1998,Aircraft,138.75
Argentina,1999,Aircraft,195.18
Argentina,1999,Engines,1.6
Argentina,2000,Aircraft,47.44
Argentina,2000,Armoured vehicles,7.7
Argentina,2000,Artillery,5.0
Argentina,2000,Engines,1.0
Argentina,2001,Aircraft,5.54
Argentina,2002,Engines,1.0
Argentina,2002,Missiles,11.21
Argentina,2003,Missiles,11.21
Argentina,2004,Sensors,18.0
Argentina,2005,Aircraft,3.1
Argentina,2006,Aircraft,9.3
Argentina,2007,Aircraft,14.540000000000001
Argentina,2008,Aircraft,14.120000000000001
Argentina,2009,Aircraft,7.92
Argentina,2009,Engines,3.6
Argentina,2010,Aircraft,3.1
Argentina,2011,Aircraft,1.4
Argentina,2012,Aircraft,2.1
Argentina,2012,Engines,2.4
Argentina,2013,Aircraft,5.0
Argentina,2013,Engines,1.8
Argentina,2014,Aircraft,3.1
Argentina,2015,Aircraft,16.4
Argentina,2015,Engines,1.2
Argentina,2016,Aircraft,5.1
Argentina,2016,Engines,1.2
Argentina,2017,Aircraft,34.2
Argentina,2018,Aircraft,8.0
Argentina,2019,Aircraft,11.1
Argentina,2019,Engines,3.0
Argentina,2020,Aircraft,6.4
Argentina,2020,Engines,0.6
Argentina,2021,Aircraft,4.24
Argentina,2022,Aircraft,13.3
Argentina,2022,Engines,1.2
Argentina,2023,Aircraft,15.719999999999999
Argentina,2023,Engines,0.6
Argentina,2024,Aircraft,12.600000000000001
Australia,1990,Aircraft,279.0
Australia,1990,Missiles,5.5
Australia,1990,Naval weapons,14.0
Australia,1991,Aircraft,74.5
Australia,1991,Armoured vehicles,5.04
Australia,1991,Naval weapons,14.0
Australia,1992,Missiles,12.6
Australia,1992,Naval weapons,14.0
Australia,1992,Ships,300.0
Australia,1993,Aircraft,120.0
Australia,1993,Missiles,13.85
Australia,1993,Naval weapons,14.0
Australia,1993,Ships,300.0
Australia,1994,Aircraft,180.0
Australia,1994,Engines,0.63
Australia,1994,Missiles,5.5
Australia,1994,Naval weapons,7.0
Australia,1994,Other,3.0
Australia,1994,Ships,60.34
Australia,1995,Aircraft,12.0
Australia,1995,Engines,1.71
Australia,1995,Missiles,23.25
Australia,1995,Other,12.0
Australia,1996,Engines,7.99
Australia,1996,Missiles,26.6
Australia,1996,Naval weapons,5.25
Australia,1996,Other,13.2
Australia,1996,Sensors,5.0
Australia,1997,Aircraft,12.0
Australia,1997,Missiles,14.5
Australia,1997,Sensors,8.0
Australia,1998,Engines,7.0
Australia,1998,Missiles,0.8
Australia,1998,Naval weapons,5.25
Australia,1998,Sensors,5.0
Australia,1999,Aircraft,294.85
Australia,1999,Missiles,8.25
Australia,2000,Aircraft,200.0
Australia,2000,Missiles,5.4
Australia,2001,Aircraft,36.0
Australia,2001,Engines,7.0
Australia,2001,Missiles,32.5
Australia,2001,Naval weapons,5.25
Australia,2001,Sensors,5.0
Australia,2002,Engines,7.15
Australia,2002,Missiles,27.7
Australia,2002,Naval weapons,5.25
Australia,2002,Sensors,65.0
Australia,2003,Aircraft,11.4
Australia,2003,Engines,9.01
Australia,2003,Missiles,37.7
Australia,2003,Naval weapons,5.25
Australia,2003,Other,12.6
Australia,2003,Sensors,87.0
Australia,2004,Aircraft,8.55
Australia,2004,Engines,8.65
Australia,2004,Missiles,37.7
Australia,2004,Naval weapons,5.25
Australia,2004,Other,24.0
Australia,2004,Sensors,28.5
Australia,2005,Aircraft,5.7
Australia,2005,Engines,9.94
Australia,2005,Missiles,39.0
Australia,2005,Naval weapons,5.25
Australia,2005,Other,12.0
Australia,2005,Sensors,28.5
Australia,2006,Aircraft,142.85
Australia,2006,Armoured vehicles,57.52
Australia,2006,Engines,15.9
Australia,2006,Missiles,71.78
Australia,2006,Naval weapons,25.25
Australia,2006,Sensors,5.75
Australia,2007,Aircraft,280.16
Australia,2007,Armoured vehicles,112.24
Australia,2007,Engines,8.780000000000001
Australia,2007,Missiles,77.5
Australia,2007,Naval weapons,20.0
Australia,2008,Aircraft,140.0
Australia,2008,Engines,8.15
Australia,2008,Missiles,102.0
Australia,2008,Naval weapons,40.0
Australia,2009,Aircraft,500.0
Australia,2009,Engines,3.75
Australia,2009,Missiles,122.62
Australia,2010,Aircraft,1264.25
Australia,2010,Engines,13.48
Australia,2010,Missiles,130.06
Australia,2010,Sensors,16.5
Australia,2011,Aircraft,840.5
Australia,2011,Engines,58.0
Australia,2011,Missiles,112.5
Australia,2011,Sensors,9.9
Australia,2012,Aircraft,413.3
Australia,2012,Engines,15.78
Australia,2012,Missiles,56.5
Australia,2013,Aircraft,33.0
Australia,2013,Engines,3.69
Australia,2013,Missiles,68.68
Australia,2014,Aircraft,176.0
Australia,2014,Engines,8.98
Australia,2014,Missiles,54.5
Australia,2015,Aircraft,721.5
Australia,2015,Engines,13.0
Australia,2015,Missiles,70.9
Australia,2015,Naval weapons,14.0
Australia,2016,Aircraft,663.3
Australia,2016,Armoured vehicles,12.0
Australia,2016,Engines,13.5
Australia,2016,Missiles,175.3
Australia,2016,Naval weapons,14.0
Australia,2017,Aircraft,740.0
Australia,2017,Engines,28.0
Australia,2017,Missiles,92.06
Australia,2017,Naval weapons,27.5
Australia,2017,Sensors,53.5
Australia,2018,Aircraft,690.0
Australia,2018,Engines,28.0
Australia,2018,Missiles,84.9
Australia,2018,Naval weapons,41.5
Australia,2018,Sensors,53.5
Australia,2019,Aircraft,940.0
Australia,2019,Missiles,49.56
Australia,2019,Naval weapons,7.0
Australia,2020,Aircraft,950.0
Australia,2020,Engines,19.0
Australia,2020,Missiles,66.56
Australia,2020,Naval weapons,34.5
Australia,2020,Sensors,53.5
Australia,2021,Aircraft,865.0
Australia,2021,Missiles,68.74000000000001
Australia,2021,Naval weapons,7.0
Australia,2022,Aircraft,700.0
Australia,2022,Missiles,95.06
Australia,2023,Aircraft,210.75
Australia,2023,Missiles,108.4
Australia,2024,Aircraft,582.4300000000001
Australia,2024,Armoured vehicles,239.2
Australia,2024,Missiles,92.4
Austria,1997,Artillery,33.75
Austria,1998,Artillery,33.75
Austria,1998,Missiles,1.8
Austria,2002,Aircraft,65.25
Austria,2019,Engines,1.12
Austria,2020,Engines,1.6
Austria,2022,Engines,1.28
Austria,2023,Engines,1.12
Austria,2024,Engines,1.44
Azerbaijan,2009,Engines,0.3
Azerbaijan,2010,Engines,0.66
Azerbaijan,2011,Engines,0.54
Azerbaijan,2012,Engines,1.8
Azerbaijan,2013,Engines,0.36
Azerbaijan,2014,Engines,0.54
Azerbaijan,2024,Engines,3.0
Bahamas,1990,Aircraft,1.9
Bahamas,1991,Ships,3.0
Bahamas,2000,Ships,33.0
