Recipient,Armament category,Delivery year,Total TIV
Afghanistan,Armoured vehicles,2005,18.8
Afghanistan,Aircraft,2017,17.16
Afghanistan,Aircraft,2018,115.83
Afghanistan,Aircraft,2019,81.51
Afghanistan,Aircraft,2020,12.87
Afghanistan,Missiles,2018,2.0
Afghanistan,Missiles,2017,1.0
Afghanistan,Missiles,2019,2.0
Afghanistan,Armoured vehicles,2014,28.4
Afghanistan,Armoured vehicles,2013,48.0
Afghanistan,Armoured vehicles,2012,48.0
Afghanistan,Armoured vehicles,2014,14.4
Afghanistan,Armoured vehicles,2015,39.6
Afghanistan,Aircraft,2020,4.2
Afghanistan,Aircraft,2021,4.2
Afghanistan,Armoured vehicles,2020,22.0
Afghanistan,Armoured vehicles,2018,6.0
Afghanistan,Armoured vehicles,2019,16.0
Afghanistan,Aircraft,2018,2.0
Afghanistan,Aircraft,2019,6.0
Afghanistan,Aircraft,2020,2.0
Afghanistan,Aircraft,2018,6.3
Afghanistan,Aircraft,2019,14.7
Afghanistan,Aircraft,2016,8.4
Afghanistan,Aircraft,2013,22.4
Afghanistan,Aircraft,2014,11.2
Afghanistan,Aircraft,2015,11.2
Afghanistan,Armoured vehicles,2016,58.5
Afghanistan,Armoured vehicles,2017,158.99
Afghanistan,Armoured vehicles,2015,28.42
Afghanistan,Armoured vehicles,2017,56.29
Afghanistan,Armoured vehicles,2013,20.0
Afghanistan,Armoured vehicles,2014,34.4
Afghanistan,Armoured vehicles,2019,234.0
Afghanistan,Armoured vehicles,2018,87.23
Afghanistan,Armoured vehicles,2020,179.79
Afghanistan,Armoured vehicles,2021,57.98
Afghanistan,Aircraft,2016,0.8
Afghanistan,Aircraft,2017,1.0
Afghanistan,Aircraft,2018,0.8
Afghanistan,Aircraft,2019,1.4
Afghanistan,Aircraft,2018,0.2
Afghanistan,Armoured vehicles,2018,62.4
Afghanistan,Armoured vehicles,2020,10.4
Afghanistan,Armoured vehicles,2019,11.54
Afghanistan,Armoured vehicles,2021,2.65
Afghanistan,Armoured vehicles,2008,20.8
Afghanistan,Armoured vehicles,2007,20.8
Afghanistan,Armoured vehicles,2011,7.2
Afghanistan,Armoured vehicles,2012,9.2
Afghanistan,Armoured vehicles,2011,325.0
Afghanistan,Armoured vehicles,2012,130.0
Afghanistan,Armoured vehicles,2013,65.26
Afghanistan,Armoured vehicles,2012,96.72
Afghanistan,Aircraft,2011,6.0
Afghanistan,Aircraft,2012,20.0
Afghanistan,Aircraft,2011,1.08
Afghanistan,Armoured vehicles,2010,227.5
Afghanistan,Armoured vehicles,2008,52.0
Afghanistan,Armoured vehicles,2009,260.0
Afghanistan,Armoured vehicles,2011,76.05
Afghanistan,Armoured vehicles,2011,66.87
Afghanistan,Armoured vehicles,2012,66.56
Afghanistan,Armoured vehicles,2012,30.81
Afghanistan,Aircraft,2011,4.2
Afghanistan,Aircraft,2015,8.4
Afghanistan,Armoured vehicles,2015,22.0
Albania,Aircraft,2024,5.2
Albania,Armoured vehicles,2019,4.74
Albania,Armoured vehicles,2017,0.38
Albania,Armoured vehicles,2023,0.78
Albania,Armoured vehicles,2021,1.04
Albania,Armoured vehicles,2020,1.3
Albania,Armoured vehicles,2018,0.88
Algeria,Aircraft,2010,11.4
Algeria,Aircraft,2011,11.4
Algeria,Engines,2016,3.0
Algeria,Engines,2015,3.0
Algeria,Engines,2016,14.0
Algeria,Aircraft,2002,15.0
Algeria,Aircraft,1996,2.85
Algeria,Aircraft,1995,5.7
Algeria,Aircraft,2001,21.8
Algeria,Aircraft,2002,43.6
